date,audit,lens,score
2026-07-03,invAIriant self-audit — the framework as its own first subject,parnas,9
2026-07-03,invAIriant self-audit — the framework as its own first subject,mcconnell,8
2026-07-03,invAIriant self-audit — the framework as its own first subject,brooks,8
2026-07-03,invAIriant self-audit — the framework as its own first subject,dijkstra,8
2026-07-03,invAIriant self-audit — the framework as its own first subject,kernighan,7
2026-07-03,invAIriant self-audit — the framework as its own first subject,security-threat,8
2026-07-03,invAIriant self-audit #2 — the CLI; skill; and audit-memory build (phases 1–6),parnas,9
2026-07-03,invAIriant self-audit #2 — the CLI; skill; and audit-memory build (phases 1–6),cormen,8
2026-07-03,invAIriant self-audit #2 — the CLI; skill; and audit-memory build (phases 1–6),mcconnell,8
2026-07-03,invAIriant self-audit #2 — the CLI; skill; and audit-memory build (phases 1–6),brooks,8
2026-07-03,invAIriant self-audit #2 — the CLI; skill; and audit-memory build (phases 1–6),dijkstra,8
2026-07-03,invAIriant self-audit #2 — the CLI; skill; and audit-memory build (phases 1–6),kernighan,7
2026-07-03,invAIriant self-audit #2 — the CLI; skill; and audit-memory build (phases 1–6),security-threat,8
